km,year,powerPS,avgPrice
125000,2001,40,1371.11
150000,2001,40,1298.70
5000,2001,60,1232.43
50000,2001,60,1733.89
60000,2001,60,1985.24
70000,2001,60,2100.86
80000,2001,60,1473.93
90000,2001,60,1542.09
100000,2001,60,1399.41
125000,2001,60,1365.02
150000,2001,60,1158.64
5000,2001,80,1441.33
30000,2001,80,2717.71
50000,2001,80,2732.83
70000,2001,80,2265.15
80000,2001,80,2141.35
90000,2001,80,2379.50
100000,2001,80,1934.69
125000,2001,80,1838.33
150000,2001,80,1517.53
5000,2001,100,2103.80
30000,2001,100,2186.36
60000,2001,100,3352.86
70000,2001,100,3272.65
80000,2001,100,2928.75
90000,2001,100,2481.43
100000,2001,100,2814.53
125000,2001,100,2182.41
150000,2001,100,1997.47
5000,2001,120,1796.04
30000,2001,120,3812.55
70000,2001,120,3846.33
80000,2001,120,3811.67
90000,2001,120,3135.03
100000,2001,120,3074.71
125000,2001,120,3041.35
150000,2001,120,2319.48
60000,2001,140,4604.45
80000,2001,140,3962.50
90000,2001,140,3883.10
100000,2001,140,3129.00
125000,2001,140,3168.98
150000,2001,140,2472.61
100000,2001,160,4996.48
125000,2001,160,4834.87
150000,2001,160,3336.65
5000,2001,180,3887.85
100000,2001,180,7522.79
125000,2001,180,5353.31
150000,2001,180,3454.62
90000,2001,200,8573.00
100000,2001,200,6604.29
125000,2001,200,5695.63
150000,2001,200,3885.50
125000,2001,220,9011.21
150000,2001,220,4805.29
125000,2001,240,8322.75
150000,2001,240,6066.90
125000,2001,260,15659.93
150000,2001,260,6723.00
150000,2001,280,6153.57
100000,2001,300,18987.25
150000,2001,300,10034.97
100000,2002,40,1702.06
125000,2002,40,1780.57
150000,2002,40,1596.93
5000,2002,60,1167.15
30000,2002,60,2956.81
40000,2002,60,2667.30
50000,2002,60,2284.27
60000,2002,60,2048.18
70000,2002,60,1748.23
80000,2002,60,1859.44
90000,2002,60,1824.52
100000,2002,60,1801.61
125000,2002,60,1602.17
150000,2002,60,1377.74
5000,2002,80,1713.58
50000,2002,80,3816.42
60000,2002,80,3790.81
70000,2002,80,2788.44
80000,2002,80,2432.89
90000,2002,80,2343.07
100000,2002,80,2441.69
125000,2002,80,2134.56
150000,2002,80,1762.64
5000,2002,100,2074.40
50000,2002,100,4132.21
70000,2002,100,3250.07
80000,2002,100,2736.79
90000,2002,100,2998.96
100000,2002,100,2630.15
125000,2002,100,2751.79
150000,2002,100,2268.83
5000,2002,120,3407.07
60000,2002,120,4345.45
70000,2002,120,5064.17
80000,2002,120,4545.68
90000,2002,120,4229.36
100000,2002,120,4114.83
125000,2002,120,3429.32
150000,2002,120,2536.08
5000,2002,140,3037.50
70000,2002,140,5108.09
80000,2002,140,4267.79
90000,2002,140,4943.06
100000,2002,140,4273.71
125000,2002,140,3926.39
150000,2002,140,2766.18
5000,2002,160,2215.85
90000,2002,160,6127.00
100000,2002,160,4692.81
125000,2002,160,5550.39
150000,2002,160,3804.71
70000,2002,180,9472.23
80000,2002,180,8282.57
